ID,Username,Password,Role,Initial Balance,Notes
1,user001,user_001,admin,"\u20b9323,319.13",Admin account
2,user002,user_002,user,"\u20b922,255.27",Test account
3,user003,user_003,user,"\u20b9144,764.37",Test account
4,user004,user_004,user,"\u20b9119,373.26",Test account
5,user005,user_005,user,"\u20b9370,870.89",Test account
6,user006,user_006,user,"\u20b9341,582.75",Test account
7,user007,user_007,user,"\u20b9447,167.99",Test account
8,user008,user_008,user,"\u20b952,600.03",Test account
9,user009,user_009,user,"\u20b9216,741.69",Test account
10,user010,user_010,user,"\u20b924,600.64",Test account
11,user011,user_011,user,"\u20b9117,132.61",Test account
12,user012,user_012,user,"\u20b9257,624.09",Test account
13,user013,user_013,user,"\u20b923,002.63",Test account
14,user014,user_014,user,"\u20b9107,430.45",Test account
15,user015,user_015,user,"\u20b9328,443.37",Test account
16,user016,user_016,user,"\u20b9277,021.33",Test account
17,user017,user_017,user,"\u20b9118,015.90",Test account
18,user018,user_018,user,"\u20b9298,740.19",Test account
19,user019,user_019,user,"\u20b9406,620.92",Test account
20,user020,user_020,user,"\u20b913,184.39",Test account
21,user021,user_021,user,"\u20b9404,851.43",Test account
22,user022,user_022,user,"\u20b9352,088.30",Test account
23,user023,user_023,user,"\u20b9176,722.75",Test account
24,user024,user_024,user,"\u20b986,184.95",Test account
25,user025,user_025,user,"\u20b9479,034.41",Test account
26,user026,user_026,user,"\u20b9174,931.33",Test account
27,user027,user_027,user,"\u20b955,445.46",Test account
28,user028,user_028,user,"\u20b957,391.02",Test account
29,user029,user_029,user,"\u20b9425,272.24",Test account
30,user030,user_030,user,"\u20b9305,825.76",Test account
31,user031,user_031,user,"\u20b9405,492.85",Test account
32,user032,user_032,user,"\u20b9367,568.58",Test account
33,user033,user_033,user,"\u20b9272,751.76",Test account
34,user034,user_034,user,"\u20b9486,826.72",Test account
35,user035,user_035,user,"\u20b9195,481.84",Test account
36,user036,user_036,user,"\u20b9280,499.91",Test account
37,user037,user_037,user,"\u20b9416,408.29",Test account
38,user038,user_038,user,"\u20b9313,074.68",Test account
39,user039,user_039,user,"\u20b9432,236.38",Test account
40,user040,user_040,user,"\u20b9292,902.55",Test account
41,user041,user_041,user,"\u20b9355,240.20",Test account
42,user042,user_042,user,"\u20b932,453.95",Test account
43,user043,user_043,user,"\u20b9121,670.16",Test account
44,user044,user_044,user,"\u20b9151,800.10",Test account
45,user045,user_045,user,"\u20b949,098.07",Test account
46,user046,user_046,user,"\u20b9124,067.53",Test account
47,user047,user_047,user,"\u20b959,490.70",Test account
48,user048,user_048,user,"\u20b9146,207.07",Test account
49,user049,user_049,user,"\u20b9321,485.38",Test account
50,user050,user_050,user,"\u20b9188,767.77",Test account
51,user051,user_051,user,"\u20b9191,388.67",Test account
52,user052,user_052,user,"\u20b9112,658.45",Test account
53,user053,user_053,user,"\u20b9140,819.13",Test account
54,user054,user_054,user,"\u20b9468,960.75",Test account
55,user055,user_055,user,"\u20b9327,537.34",Test account
56,user056,user_056,user,"\u20b9308,474.19",Test account
57,user057,user_057,user,"\u20b993,857.94",Test account
58,user058,user_058,user,"\u20b9367,272.13",Test account
59,user059,user_059,user,"\u20b990,067.22",Test account
60,user060,user_060,user,"\u20b9195,933.17",Test account
61,user061,user_061,user,"\u20b9494,866.44",Test account
62,user062,user_062,user,"\u20b9323,599.88",Test account
63,user063,user_063,user,"\u20b9282,905.37",Test account
64,user064,user_064,user,"\u20b9345,460.98",Test account
65,user065,user_065,user,"\u20b9422,997.44",Test account
66,user066,user_066,user,"\u20b9390,239.96",Test account
67,user067,user_067,user,"\u20b9122,233.56",Test account
68,user068,user_068,user,"\u20b925,729.12",Test account
69,user069,user_069,user,"\u20b9164,571.99",Test account
70,user070,user_070,user,"\u20b9141,193.03",Test account
71,user071,user_071,user,"\u20b9113,381.59",Test account
72,user072,user_072,user,"\u20b9472,025.76",Test account
73,user073,user_073,user,"\u20b9439,420.14",Test account
74,user074,user_074,user,"\u20b9164,192.16",Test account
75,user075,user_075,user,"\u20b9331,164.95",Test account
76,user076,user_076,user,"\u20b9203,859.63",Test account
77,user077,user_077,user,"\u20b9458,128.32",Test account
78,user078,user_078,user,"\u20b9234,837.41",Test account
79,user079,user_079,user,"\u20b9139,791.28",Test account
80,user080,user_080,user,"\u20b9130,847.48",Test account
81,user081,user_081,user,"\u20b9285,070.39",Test account
82,user082,user_082,user,"\u20b9138,743.39",Test account
83,user083,user_083,user,"\u20b9296,447.14",Test account
84,user084,user_084,user,"\u20b9449,933.21",Test account
85,user085,user_085,user,"\u20b9205,706.25",Test account
86,user086,user_086,user,"\u20b9117,467.17",Test account
87,user087,user_087,user,"\u20b9498,793.43",Test account
88,user088,user_088,user,"\u20b9259,667.88",Test account
89,user089,user_089,user,"\u20b954,545.61",Test account
90,user090,user_090,user,"\u20b933,087.02",Test account
91,user091,user_091,user,"\u20b963,728.07",Test account
92,user092,user_092,user,"\u20b9317,448.56",Test account
93,user093,user_093,user,"\u20b9398,118.89",Test account
94,user094,user_094,user,"\u20b9216,858.38",Test account
95,user095,user_095,user,"\u20b941,128.58",Test account
96,user096,user_096,user,"\u20b9196,993.45",Test account
97,user097,user_097,user,"\u20b9498,099.48",Test account
98,user098,user_098,user,"\u20b9269,266.03",Test account
99,user099,user_099,user,"\u20b9485,828.41",Test account
100,user100,user_100,user,"\u20b9431,782.05",Test account
